,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,sstart_al,send_al
25,AF348774.1,MK059953.1,79.943,349,66,4,1,347,4545,4891,7.18e-71,254.0,4600,4946
26,AF348775.1,MK059953.1,79.943,349,66,4,1,347,4545,4891,7.18e-71,254.0,4600,4946
27,AF348776.1,MK059953.1,79.37,349,68,4,1,347,4545,4891,1.5499999999999998e-67,243.0,4600,4946
28,AF348777.1,MK059953.1,80.571,350,62,6,1,347,4545,4891,3.32e-74,265.0,4600,4946
29,AF348778.1,MK059953.1,79.656,349,67,4,1,347,4545,4891,3.34e-69,248.0,4600,4946
30,AF348779.1,MK059953.1,79.37,349,68,4,1,347,4545,4891,1.5499999999999998e-67,243.0,4600,4946
31,AF348780.1,MK059953.1,79.656,349,67,4,1,347,4545,4891,3.34e-69,248.0,4600,4946
32,AF348781.1,MK059953.1,79.943,349,66,4,1,347,4545,4891,7.18e-71,254.0,4600,4946
33,AF348782.1,MK059953.1,79.656,349,67,4,1,347,4545,4891,3.34e-69,248.0,4600,4946
34,AF348783.1,MK059951.1,97.414,348,9,0,1,348,4601,4948,3.77e-173,593.0,4600,4947
35,AF348784.1,MK059952.1,96.264,348,13,0,1,348,4573,4920,1.7400000000000002e-166,571.0,4600,4947
36,AF348785.1,MK059952.1,96.264,348,13,0,1,348,4573,4920,1.7400000000000002e-166,571.0,4600,4947
37,AF348786.1,MK059956.1,92.241,348,27,0,1,348,4572,4919,3.9e-143,494.0,4600,4947
38,AF348787.1,MK059952.1,95.977,348,14,0,1,348,4573,4920,8.099999999999999e-165,566.0,4600,4947
39,AF348788.1,MK059952.1,95.977,348,14,0,1,348,4573,4920,8.099999999999999e-165,566.0,4600,4947
40,AF348789.1,MK059952.1,95.402,348,16,0,1,348,4573,4920,1.75e-161,555.0,4600,4947
41,AF348790.1,MK059952.1,96.264,348,13,0,1,348,4573,4920,1.7400000000000002e-166,571.0,4600,4947
42,AF348791.1,MK059952.1,96.264,348,13,0,1,348,4573,4920,1.7400000000000002e-166,571.0,4600,4947
43,AF348792.1,MK059956.1,91.092,348,31,0,1,348,4572,4919,1.83e-136,472.0,4600,4947
44,AF348793.1,MK059956.1,91.379,348,30,0,1,348,4572,4919,3.9299999999999995e-138,477.0,4600,4947
45,AF348794.1,MK059956.1,91.092,348,31,0,1,348,4572,4919,1.83e-136,472.0,4600,4947
46,AF348795.1,MK059956.1,91.092,348,31,0,1,348,4572,4919,1.83e-136,472.0,4600,4947
47,AF348796.1,MK059956.1,97.989,348,7,0,1,348,4572,4919,1.7299999999999998e-176,604.0,4600,4947
48,AF348797.1,MK059956.1,97.989,348,7,0,1,348,4572,4919,1.7299999999999998e-176,604.0,4600,4947
49,AF348798.1,MK059956.1,97.989,348,7,0,1,348,4572,4919,1.7299999999999998e-176,604.0,4600,4947
50,AF348799.1,MK059956.1,97.989,348,7,0,1,348,4572,4919,1.7299999999999998e-176,604.0,4600,4947
51,AF348800.1,MK059956.1,97.989,348,7,0,1,348,4572,4919,1.7299999999999998e-176,604.0,4600,4947
52,AF348801.1,MK059956.1,97.989,348,7,0,1,348,4572,4919,1.7299999999999998e-176,604.0,4600,4947
53,AF361028.1,MK059949.1,97.578,289,7,0,1,289,1182,1470,8.940000000000001e-144,496.0,1181,1469
54,AF361029.1,MK059949.1,97.232,289,8,0,1,289,1182,1470,4.16e-142,490.0,1181,1469
55,AF361030.1,MK059949.1,92.042,289,23,0,1,289,1182,1470,4.31e-117,407.0,1181,1469
56,AF361031.1,MK059949.1,92.042,289,23,0,1,289,1182,1470,4.31e-117,407.0,1181,1469
57,AF361032.1,MK059949.1,92.734,289,21,0,1,289,1182,1470,1.99e-120,418.0,1181,1469
58,AF361033.1,MK059949.1,91.003,289,26,0,1,289,1182,1470,4.34e-112,390.0,1181,1469
59,AF361034.1,MK059953.1,83.448,290,46,2,1,289,1156,1444,2.11e-75,268.0,1181,1469
60,AF361035.1,MK059952.1,84.536,291,41,3,1,289,1181,1469,2.1e-80,285.0,1181,1469
61,AF361036.1,MK059949.1,97.578,289,7,0,1,289,1182,1470,8.940000000000001e-144,496.0,1181,1469
62,AF474900.1,MK059951.1,97.765,179,4,0,1,179,4673,4851,7.6e-88,309.0,4672,4850
63,AF474901.1,MK059949.1,90.503,179,17,0,1,179,4646,4824,3.61e-66,237.0,4672,4850
64,AF474902.1,MK059949.1,91.061,179,16,0,1,179,4646,4824,7.77e-68,243.0,4672,4850
65,AF474903.1,MK059949.1,90.503,179,17,0,1,179,4646,4824,3.61e-66,237.0,4672,4850
66,AF474904.1,MK059949.1,90.503,179,17,0,1,179,4646,4824,3.61e-66,237.0,4672,4850
67,AF474905.1,MK059949.1,90.503,179,17,0,1,179,4646,4824,3.61e-66,237.0,4672,4850
68,AF474906.1,MK059949.1,82.682,179,31,0,1,179,4646,4824,8.05e-43,159.0,4672,4850
69,AF474907.1,MK059949.1,91.061,179,16,0,1,179,4646,4824,7.77e-68,243.0,4672,4850
70,AF474908.1,MK059949.1,83.24,179,30,0,1,179,4646,4824,1.73e-44,165.0,4672,4850
71,AF474909.1,MK059949.1,83.24,179,30,0,1,179,4646,4824,1.73e-44,165.0,4672,4850
72,AF474910.1,MK059949.1,90.503,179,17,0,1,179,4646,4824,3.61e-66,237.0,4672,4850
73,AF474911.1,MK059949.1,91.62,179,15,0,1,179,4646,4824,1.67e-69,248.0,4672,4850
74,AF474912.1,MK059949.1,91.061,179,16,0,1,179,4646,4824,7.77e-68,243.0,4672,4850
75,AF474913.1,MK059949.1,91.061,179,16,0,1,179,4646,4824,7.77e-68,243.0,4672,4850
76,AF474914.1,MK059949.1,83.24,179,30,0,1,179,4646,4824,1.73e-44,165.0,4672,4850
77,AF474915.1,MK059949.1,91.061,179,16,0,1,179,4646,4824,7.77e-68,243.0,4672,4850
78,AF474916.1,MK059949.1,91.62,179,15,0,1,179,4646,4824,1.67e-69,248.0,4672,4850
79,AF474917.1,MK059949.1,90.503,179,17,0,1,179,4646,4824,3.61e-66,237.0,4672,4850
80,AF474918.1,MK059949.1,83.24,179,30,0,1,179,4646,4824,1.73e-44,165.0,4672,4850
81,AF474919.1,MK059949.1,82.682,179,31,0,1,179,4646,4824,8.05e-43,159.0,4672,4850
82,AF474920.1,MK059949.1,83.24,179,30,0,1,179,4646,4824,1.73e-44,165.0,4672,4850
83,AF474921.1,MK059954.1,81.111,180,34,0,1,180,4646,4825,2.51e-38,145.0,4672,4851
84,AY027809.1,MK059949.1,97.232,289,8,0,1,289,1182,1470,4.16e-142,490.0,1181,1469
85,AY188183.1,MK059950.1,77.509,289,45,16,2,279,6500,6779,1.67e-41,156.0,6532,6814
86,AY188184.1,MK059955.1,76.552,290,46,15,2,279,6486,6765,1.68e-36,139.0,6532,6814
87,AY188185.1,MK059955.1,77.241,290,44,15,2,279,6486,6765,7.78e-40,150.0,6532,6814
88,AY188186.1,MK059953.1,77.741,301,46,14,1,289,6434,6725,2.85e-44,165.0,6531,6822
89,AY188187.1,MK059953.1,78.0,300,47,15,1,289,6434,6725,6.13e-46,171.0,6531,6822
90,AY188188.1,MK059953.1,78.621,290,47,9,1,281,6434,6717,3.5699999999999997e-48,178.0,6531,6814
91,AY188189.1,MK059956.1,77.241,290,51,12,1,281,6455,6738,1.68e-41,156.0,6531,6814
92,AY188190.1,MK059953.1,77.663,291,48,10,1,281,6434,6717,3.59e-43,161.0,6531,6814
93,AY188191.1,MK059953.1,78.007,291,47,11,1,281,6434,6717,7.72e-45,167.0,6531,6814
94,AY188192.1,MK059953.1,78.621,290,47,9,1,281,6434,6717,3.5699999999999997e-48,178.0,6531,6814
95,AY188193.1,MK059953.1,78.276,290,48,9,1,281,6434,6717,1.66e-46,172.0,6531,6814
96,AY188194.1,MK059952.1,91.241,274,22,2,1,273,6430,6702,1.4799999999999999e-106,372.0,6505,6814
97,AY188195.1,MK059952.1,90.146,274,25,2,1,273,6430,6702,1.49e-101,355.0,6505,6814
98,AY188196.1,MK059952.1,90.511,274,24,2,1,273,6430,6702,3.2000000000000003e-103,361.0,6505,6814
99,AY188197.1,MK059952.1,91.241,274,22,2,1,273,6430,6702,1.4799999999999999e-106,372.0,6505,6814
100,AY188198.1,MK059952.1,90.511,274,24,2,1,273,6430,6702,3.2000000000000003e-103,361.0,6505,6814
101,AY188199.1,MK059952.1,90.876,274,23,2,1,273,6430,6702,6.87e-105,366.0,6505,6814
102,AY188200.1,MK059950.1,77.663,291,48,13,1,284,6499,6779,3.67e-43,161.0,6531,6814
103,AY188201.1,MK059950.1,77.663,291,48,11,1,284,6499,6779,3.67e-43,161.0,6531,6814
104,AY188202.1,MK059950.1,76.976,291,50,12,1,284,6499,6779,7.94e-40,150.0,6531,6814
105,AY188203.1,MK059954.1,96.875,256,8,0,1,256,6469,6724,8.100000000000001e-124,429.0,6531,6814
106,AY188204.1,MK059950.1,76.451,293,48,18,1,284,6499,6779,1.72e-36,139.0,6531,6814
107,AY188205.1,MK059955.1,75.768,293,50,18,1,284,6485,6765,3.71e-33,128.0,6531,6814
108,AY188206.1,MK059956.1,95.775,284,12,0,1,284,6455,6738,1.15e-132,459.0,6531,6814
109,AY188207.1,MK059953.1,87.324,284,36,0,1,284,6434,6717,1.22e-92,326.0,6531,6814
110,AY188208.1,MK059950.1,76.451,293,48,19,1,284,6499,6779,1.72e-36,139.0,6531,6814
111,AY522551.1,MK059951.1,98.37,184,3,0,1,184,4388,4571,2.8e-92,324.0,4387,4570
112,AY522552.1,MK059952.1,97.191,178,5,0,1,178,4366,4543,1.25e-85,302.0,4387,4570
113,AY962540.1,MK059949.1,95.618,251,11,0,1,251,1220,1470,4.83e-116,403.0,1219,1469
114,AY962541.1,MK059949.1,96.414,251,9,0,1,251,1220,1470,2.23e-119,414.0,1219,1469
115,AY962542.1,MK059954.1,80.159,252,48,2,1,251,1217,1467,5.27e-51,187.0,1219,1469
116,AY962543.1,MK059949.1,90.04,251,25,0,1,251,1220,1470,1.07e-92,326.0,1219,1469
117,AY962544.1,MK059949.1,89.243,251,27,0,1,251,1220,1470,2.33e-89,315.0,1219,1469
118,AY962545.1,MK059949.1,92.43,251,19,0,1,251,1220,1470,1.06e-102,359.0,1219,1469
119,AY962546.1,MK059949.1,94.422,251,14,0,1,251,1220,1470,4.8599999999999996e-111,387.0,1219,1469
120,AY962547.1,MK059949.1,95.868,242,10,0,1,242,1220,1461,1.04e-112,392.0,1219,1460
121,AY962548.1,MK059949.1,95.219,251,12,0,1,251,1220,1470,2.25e-114,398.0,1219,1469
122,AY962549.1,MK059949.1,89.243,251,27,0,1,251,1220,1470,2.33e-89,315.0,1219,1469
123,AY962550.1,MK059949.1,91.633,251,21,0,1,251,1220,1470,2.29e-99,348.0,1219,1469
124,AY962551.1,MK059953.1,80.952,252,46,2,1,251,1194,1444,2.4299999999999997e-54,198.0,1219,1469
125,DQ139812.1,MK059950.1,91.414,198,17,0,1,198,1226,1423,1.11e-76,272.0,1228,1425
126,DQ139813.1,MK059950.1,93.939,198,12,0,1,198,1226,1423,5.09e-85,300.0,1228,1425
127,DQ139814.1,MK059950.1,97.98,198,4,0,1,198,1226,1423,2.32e-98,344.0,1228,1425
128,DQ139815.1,MK059949.1,92.929,198,14,0,1,198,1229,1426,1.1e-81,289.0,1228,1425
129,DQ139816.1,MK059949.1,91.919,198,16,0,1,198,1229,1426,2.37e-78,278.0,1228,1425
130,DQ139817.1,MK059949.1,92.424,198,15,0,1,198,1229,1426,5.1e-80,283.0,1228,1425
131,DQ139818.1,MK059949.1,96.97,198,6,0,1,198,1229,1426,4.9899999999999995e-95,333.0,1228,1425
132,DQ139819.1,MK059949.1,97.753,267,6,0,1,267,3715,3981,3.01e-133,460.0,3735,4001
133,DQ139820.1,MK059949.1,97.753,267,6,0,1,267,3715,3981,3.01e-133,460.0,3735,4001
134,DQ139821.1,MK059949.1,97.378,267,7,0,1,267,3715,3981,1.4e-131,455.0,3735,4001
135,DQ139822.1,MK059949.1,94.007,267,16,0,1,267,3715,3981,1.43e-116,405.0,3735,4001
136,DQ139823.1,MK059949.1,81.273,267,50,0,1,267,3715,3981,7.2e-60,217.0,3735,4001
137,DQ139824.1,MK059949.1,92.135,267,21,0,1,267,3715,3981,3.1199999999999998e-108,377.0,3735,4001
138,DQ139825.1,MK059949.1,89.943,348,35,0,1,348,4574,4921,8.58e-130,449.0,4600,4947
139,DQ139826.1,MK059949.1,97.414,348,9,0,1,348,4574,4921,3.7400000000000004e-173,593.0,4600,4947
140,DQ139827.1,MK059949.1,96.839,348,11,0,1,348,4574,4921,8.1e-170,582.0,4600,4947
141,DQ139828.1,MK059949.1,95.977,348,14,0,1,348,4574,4921,8.159999999999999e-165,566.0,4600,4947
142,DQ139829.1,MK059949.1,78.857,350,70,2,1,348,4574,4921,9.4e-65,233.0,4600,4947
143,DQ139830.1,MK059949.1,78.857,350,70,2,1,348,4574,4921,9.4e-65,233.0,4600,4947
144,DQ139831.1,MK059951.1,98.563,348,5,0,1,348,4601,4948,8.039999999999999e-180,616.0,4600,4947
145,DQ139832.1,MK059956.1,97.414,348,9,0,1,348,4572,4919,3.7400000000000004e-173,593.0,4600,4947
146,DQ788590.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
147,DQ788591.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
148,DQ788592.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
149,DQ788593.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
150,DQ788594.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
151,DQ788595.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
152,DQ788596.1,MK059949.1,89.943,348,35,0,1,348,4574,4921,8.58e-130,449.0,4600,4947
153,DQ788597.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
154,DQ788598.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
155,DQ788599.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
156,DQ788600.1,MK059949.1,91.954,348,28,0,1,348,4574,4921,1.82e-141,488.0,4600,4947
157,DQ788601.1,MK059949.1,91.092,348,31,0,1,348,4574,4921,1.83e-136,472.0,4600,4947
158,DQ788602.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
159,DQ788603.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
160,DQ788604.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
161,DQ788605.1,MK059949.1,92.241,348,27,0,1,348,4574,4921,3.91e-143,494.0,4600,4947
162,DQ788606.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
163,DQ788607.1,MK059949.1,92.529,348,26,0,1,348,4574,4921,8.4e-145,499.0,4600,4947
164,DQ788608.1,MK059949.1,92.795,347,25,0,1,347,4574,4920,6.49e-146,503.0,4600,4946
165,DQ788609.1,MK059949.1,92.816,348,25,0,1,348,4574,4921,1.8e-146,505.0,4600,4947
166,DQ788610.1,MK059949.1,91.954,348,28,0,1,348,4574,4921,1.82e-141,488.0,4600,4947
167,DQ788611.1,MK059949.1,91.618,346,29,0,1,346,4574,4919,1.09e-138,479.0,4600,4945
168,DQ788612.2,MK059949.1,89.943,348,35,0,1,348,4574,4921,8.58e-130,449.0,4600,4947
169,EF100670.1,MK059949.1,97.118,347,10,0,1,347,4574,4920,6.25e-171,586.0,4600,4946
170,EF138823.1,MK059949.1,96.827,2364,75,0,1,2364,4328,6691,0.0,3951.0,4348,6750
171,EF138824.1,MK059949.1,96.569,2361,81,0,1,2361,4328,6688,0.0,3912.0,4348,6747
172,EF138825.1,MK059949.1,96.447,2364,84,0,1,2364,4328,6691,0.0,3901.0,4348,6750
173,EF138826.1,MK059949.1,93.613,2364,151,0,1,2364,4328,6691,0.0,3530.0,4348,6750
174,EF138827.1,MK059950.1,93.328,2413,155,1,1,2413,4314,6720,0.0,3559.0,4337,6752
175,EF138828.1,MK059951.1,97.579,2396,58,0,1,2396,4338,6733,0.0,4104.0,4337,6750
176,EF138829.1,MK059951.1,96.939,2385,73,0,1,2385,4349,6733,0.0,4000.0,4348,6750
177,EF138830.1,MK059956.1,97.063,2349,69,0,1,2349,4326,6674,0.0,3956.0,4348,6750
178,EF138831.1,MK059956.1,96.765,2349,76,0,1,2349,4326,6674,0.0,3917.0,4348,6750
179,EF195385.1,MK059949.1,88.591,149,17,0,1,149,2385,2533,1.41e-49,182.0,2384,2553
180,EF195386.1,MK059951.1,92.667,150,10,1,1,149,2405,2554,1.4000000000000001e-59,215.0,2404,2553
181,EF195387.1,MK059951.1,92.667,150,10,1,1,149,2405,2554,1.4000000000000001e-59,215.0,2404,2553
182,EF195388.1,MK059951.1,92.667,150,10,1,1,149,2405,2554,1.4000000000000001e-59,215.0,2404,2553
183,EF195389.1,MK059951.1,87.333,150,18,1,1,149,2405,2554,3.06e-46,171.0,2404,2553
184,EF195390.1,MK059953.1,80.723,166,14,3,26,188,2357,2507,6.66e-29,113.0,2382,2553
185,EF195391.1,MK059953.1,80.723,166,14,3,26,188,2357,2507,6.66e-29,113.0,2382,2553
186,EF195392.1,MK059953.1,80.723,166,14,3,26,188,2357,2507,6.66e-29,113.0,2382,2553
187,EF195393.1,MK059951.1,92.667,150,10,1,1,149,2405,2554,1.4000000000000001e-59,215.0,2404,2553
188,EF195394.1,MK059951.1,92.0,150,11,1,1,149,2405,2554,6.5e-58,209.0,2404,2553
189,EF195395.1,MK059953.1,80.723,166,14,3,26,188,2357,2507,6.66e-29,113.0,2382,2553
190,EF195396.1,MK059953.1,80.723,166,14,3,26,188,2357,2507,6.66e-29,113.0,2382,2553
191,EF195397.1,MK059953.1,80.12,166,15,3,26,188,2357,2507,3.1000000000000002e-27,108.0,2382,2553
192,EF195398.1,MK059953.1,80.723,166,14,3,26,188,2357,2507,6.66e-29,113.0,2382,2553
193,EF195399.1,MK059949.1,88.591,149,17,0,1,149,2385,2533,1.41e-49,182.0,2384,2553
194,EF195400.1,MK059950.1,85.827,127,18,0,41,167,2404,2530,1.2600000000000001e-35,135.0,2427,2553
195,EF195401.1,MK059950.1,85.827,127,18,0,41,167,2404,2530,1.2600000000000001e-35,135.0,2427,2553
196,EF195402.1,MK059950.1,85.827,127,18,0,41,167,2404,2530,1.2600000000000001e-35,135.0,2427,2553
197,EF195403.1,MK059951.1,94.706,170,9,0,1,170,2385,2554,1.58e-74,265.0,2384,2553
198,EF195404.1,MK059951.1,94.118,170,10,0,1,170,2385,2554,7.340000000000001e-73,259.0,2384,2553
199,EF195405.1,MK059951.1,94.118,170,10,0,1,170,2385,2554,7.340000000000001e-73,259.0,2384,2553
200,EF195406.1,MK059951.1,97.059,170,5,0,1,170,2385,2554,3.37e-81,287.0,2384,2553
201,EF195407.1,MK059951.1,93.529,170,11,0,1,170,2385,2554,3.42e-71,254.0,2384,2553
202,EF195408.1,MK059951.1,93.529,170,11,0,1,170,2385,2554,3.42e-71,254.0,2384,2553
203,EF195409.1,MK059951.1,94.118,170,10,0,1,170,2385,2554,7.340000000000001e-73,259.0,2384,2553
204,EF195410.1,MK059951.1,93.529,170,11,0,1,170,2385,2554,3.42e-71,254.0,2384,2553
205,EF195411.1,MK059951.1,93.529,170,11,0,1,170,2385,2554,3.42e-71,254.0,2384,2553
206,EF195412.1,MK059952.1,83.444,151,21,3,1,149,2384,2532,3.07e-36,137.0,2384,2553
207,EF195413.1,MK059952.1,83.444,151,21,3,1,149,2384,2532,3.07e-36,137.0,2384,2553
208,EF195414.1,MK059952.1,83.444,151,21,3,1,149,2384,2532,3.07e-36,137.0,2384,2553
209,EF195415.1,MK059952.1,83.444,151,21,3,1,149,2384,2532,3.07e-36,137.0,2384,2553
210,EF195416.1,MK059952.1,83.444,151,21,3,1,149,2384,2532,3.07e-36,137.0,2384,2553
211,EF195417.1,MK059952.1,83.444,151,21,3,1,149,2384,2532,3.07e-36,137.0,2384,2553
212,EF195418.1,MK059952.1,83.444,151,21,3,1,149,2384,2532,3.07e-36,137.0,2384,2553
213,EF195419.1,MK059953.1,80.723,166,14,3,26,188,2357,2507,6.66e-29,113.0,2382,2553
214,EF195420.1,MK059953.1,80.723,166,14,3,26,188,2357,2507,6.66e-29,113.0,2382,2553
215,EF195421.1,MK059953.1,80.723,166,14,3,26,188,2357,2507,6.66e-29,113.0,2382,2553
216,EF195422.1,MK059953.1,81.325,166,13,3,26,188,2357,2507,1.4299999999999999e-30,119.0,2382,2553
217,EF195423.1,MK059952.1,84.211,152,18,4,1,149,2384,2532,6.59e-38,143.0,2384,2553
218,EF195424.1,MK059950.1,84.252,127,20,0,41,167,2404,2530,2.73e-32,124.0,2427,2553
219,EF195425.1,MK059950.1,84.252,127,20,0,41,167,2404,2530,2.73e-32,124.0,2427,2553
220,EF195426.1,MK059950.1,84.252,127,20,0,41,167,2404,2530,2.73e-32,124.0,2427,2553
221,EF195427.1,MK059950.1,84.127,126,20,0,42,167,2405,2530,9.83e-32,122.0,2428,2553
222,EF195428.1,MK059950.1,84.252,127,20,0,41,167,2404,2530,2.73e-32,124.0,2427,2553
223,EF195429.1,MK059950.1,84.252,127,20,0,41,167,2404,2530,2.73e-32,124.0,2427,2553
224,EF195430.1,MK059954.1,89.437,142,15,0,1,142,2388,2529,4.93e-49,180.0,2408,2549
225,EF195431.1,MK059954.1,97.945,146,3,0,1,146,2388,2533,2.86e-71,254.0,2408,2553
226,EF195432.1,MK059954.1,97.945,146,3,0,1,146,2388,2533,2.86e-71,254.0,2408,2553
227,EF195433.1,MK059954.1,100.0,146,0,0,1,146,2388,2533,2.84e-76,270.0,2408,2553
228,EF195434.1,MK059954.1,97.945,146,3,0,1,146,2388,2533,2.86e-71,254.0,2408,2553
229,EF195435.1,MK059954.1,97.945,146,3,0,1,146,2388,2533,2.86e-71,254.0,2408,2553
230,EF195436.1,MK059951.1,92.667,150,10,1,1,149,2405,2554,1.4000000000000001e-59,215.0,2404,2553
231,EF195437.1,MK059949.1,95.455,110,5,0,1,110,2385,2494,8.71e-48,176.0,2384,2514
232,EF195437.1,MK059949.1,95.238,84,4,0,111,194,2450,2533,5.32e-35,134.0,2470,2553
233,EF195438.1,MK059949.1,87.402,127,16,0,41,167,2407,2533,5.81e-39,147.0,2427,2553
234,EF195439.1,MK059949.1,98.165,109,2,0,1,109,2385,2493,3.1099999999999996e-52,191.0,2384,2513
235,EF195439.1,MK059949.1,94.186,86,5,0,109,194,2448,2533,1.9099999999999999e-34,132.0,2468,2553
236,EF195440.1,MK059949.1,92.661,109,8,0,1,109,2385,2493,3.1599999999999995e-42,158.0,2384,2513
237,EF195440.1,MK059949.1,94.186,86,5,0,109,194,2448,2533,1.9099999999999999e-34,132.0,2468,2553
238,EF195441.1,MK059949.1,93.578,109,7,0,1,109,2385,2493,6.78e-44,163.0,2384,2513
239,EF195441.1,MK059949.1,93.023,86,6,0,109,194,2448,2533,8.9e-33,126.0,2468,2553
240,EF195442.1,MK059953.1,80.12,166,15,3,26,188,2357,2507,3.1000000000000002e-27,108.0,2382,2553
241,EF195443.1,MK059953.1,80.12,166,15,3,26,188,2357,2507,3.1000000000000002e-27,108.0,2382,2553
242,EF195444.1,MK059951.1,92.667,150,10,1,1,149,2405,2554,1.4000000000000001e-59,215.0,2404,2553
243,EF195445.1,MK059950.1,85.827,127,18,0,41,167,2404,2530,1.2600000000000001e-35,135.0,2427,2553
244,EF195446.1,MK059953.1,80.12,166,15,3,26,188,2357,2507,3.1000000000000002e-27,108.0,2382,2553
245,EF195447.1,MK059953.1,80.723,166,14,3,26,188,2357,2507,6.66e-29,113.0,2382,2553
246,EF195448.1,MK059950.1,85.039,127,19,0,41,167,2404,2530,5.88e-34,130.0,2427,2553
247,EF195449.1,MK059956.1,78.916,166,17,7,26,188,2381,2531,6.729999999999999e-24,97.1,2382,2553
248,EF195450.1,MK059951.1,100.0,170,0,0,1,170,2385,2554,1.54e-89,315.0,2384,2553
249,EF195451.1,MK059951.1,90.551,127,12,0,41,167,2428,2554,1.25e-45,169.0,2427,2553
250,EF195452.1,MK059952.1,84.667,150,21,2,1,149,2384,2532,1.42e-39,148.0,2384,2553
251,EF195453.1,MK059954.1,100.0,146,0,0,1,146,2388,2533,2.84e-76,270.0,2408,2553
252,EF195454.1,MK059954.1,83.562,146,24,0,1,146,2388,2533,3.01e-36,137.0,2408,2553
253,EF195455.1,MK059952.1,84.211,152,18,4,1,149,2384,2532,6.59e-38,143.0,2384,2553
254,EF195456.1,MK059949.1,88.591,149,17,0,1,149,2385,2533,1.41e-49,182.0,2384,2553
